#Lists all companies in the S&P 500
Symbol,Name,Sector
CRL,Charles River Laboratories,Health Care
SCHW,Charles Schwab Corporation,Financials
CHTR,Charter Communications,Communication Services
CVX,Chevron Corporation,Energy
CMG,Chipotle Mexican Grill,Consumer Discretionary
CB,Chubb Limited,Financials
CHD,Church & Dwight,Consumer Staples
CI,Cigna,Health Care
CINF,Cincinnati Financial,Financials
CTAS,Cintas,Industrials
CSCO,Cisco,Information Technology
C,Citigroup,Financials
CFG,Citizens Financial Group,Financials
CLX,Clorox,Consumer Staples
CME,CME Group,Financials
CMS,CMS Energy,Utilities
CTSH,Cognizant,Information Technology
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast,Communication Services
CMA,Comerica,Financials
CAG,Conagra Brands,Consumer Staples
COP,ConocoPhillips,Energy
ED,Consolidated Edison,Utilities
STZ,Constellation Brands,Consumer Staples
CEG,Constellation Energy,Utilities
COO,CooperCompanies,Health Care
CPRT,Copart,Industrials
GLW,Corning Inc.,Information Technology
CTVA,Corteva,Materials
CSGP,CoStar Group,Industrials
COST,Costco,Consumer Staples
CTRA,Coterra,Energy
CCI,Crown Castle,Real Estate
CSX,CSX,Industrials
CMI,Cummins,Industrials
CVS,CVS Health,Health Care
DHI,D.R. Horton,Consumer Discretionary
DHR,Danaher Corporation,Health Care
DRI,Darden Restaurants,Consumer Discretionary
DVA,DaVita Inc.,Health Care
DAL,Delta Air Lines,Industrials
XRAY,Dentsply Sirona,Health Care
DVN,Devon Energy,Energy
DXCM,Dexcom,Health Care
FANG,Diamondback Energy,Energy
DLR,Digital Realty,Real Estate
DFS,Discover Financial,Financials
DISH,Dish Network,Communication Services
DIS,Disney,Communication Services
DG,Dollar General,Consumer Discretionary
DLTR,Dollar Tree,Consumer Discretionary
D,Dominion Energy,Utilities
DPZ,Domino's,Consumer Discretionary
DOV,Dover Corporation,Industrials
DOW,Dow Inc.,Materials
DTE,DTE Energy,Utilities
DUK,Duke Energy,Utilities
DD,DuPont,Materials
DXC,DXC Technology,Information Technology
EMN,Eastman Chemical Company,Materials
ETN,Eaton Corporation,Industrials
EBAY,eBay,Consumer Discretionary
ECL,Ecolab,Materials
EIX,Edison International,Utilities
EW,Edwards Lifesciences,Health Care
EA,Electronic Arts,Communication Services
ELV,Elevance Health,Health Care
LLY,Eli Lilly and Company,Health Care
EMR,Emerson Electric,Industrials
ENPH,Enphase,Information Technology
ETR,Entergy,Utilities
EOG,EOG Resources,Energy
EPAM,EPAM Systems,Information Technology
EQT,EQT,Energy
EFX,Equifax,Industrials
EQIX,Equinix,Real Estate
EQR,Equity Residential,Real Estate
ESS,Essex Property Trust,Real Estate
ETSY,Etsy,Consumer Discretionary
RE,Everest Re,Financials
EVRG,Evergy,Utilities
ES,Eversource,Utilities
EXC,Exelon,Utilities
EXPE,Expedia Group,Consumer Discretionary
EXPD,Expeditors International,Industrials
EXR,Extra Space Storage,Real Estate
XOM,ExxonMobil,Energy
FFIV,F5 Inc.,Information Technology
FDS,FactSet,Financials
FAST,Fastenal,Industrials
FRT,Federal Realty,Real Estate
FDX,FedEx,Industrials
FITB,Fifth Third Bank,Financials
FRC,First Republic Bank,Financials
FSLR,First Solar,Information Technology
FE,FirstEnergy,Utilities
FIS,FIS,Information Technology
FISV,Fiserv,Information Technology
FLT,Fleetcor,Information Technology
FMC,FMC Corporation,Materials
F,Ford Motor Company,Consumer Discretionary
FTNT,Fortinet,Information Technology
FTV,Fortive,Industrials
FOXA,Fox Corporation (Class A),Communication Services
FOX,Fox Corporation (Class B),Communication Services
BEN,Franklin Templeton,Financials
FCX,Freeport-McMoRan,Materials
GRMN,Garmin,Consumer Discretionary
IT,Gartner,Information Technology
GEN,Gen Digital Inc.,Information Technology
GNRC,Generac,Industrials
GD,General Dynamics,Industrials
GE,General Electric,Industrials
GIS,General Mills,Consumer Staples
GM,General Motors,Consumer Discretionary
GPC,Genuine Parts Company,Consumer Discretionary
GILD,Gilead Sciences,Health Care
GPN,Global Payments,Information Technology
GL,Globe Life,Financials
GS,Goldman Sachs,Financials
HAL,Halliburton,Energy
HIG,Hartford (The),Financials
HAS,Hasbro,Consumer Discretionary
HCA,HCA Healthcare,Health Care
PEAK,Healthpeak,Real Estate
HSIC,Henry Schein,Health Care
HSY,Hershey's,Consumer Staples
HES,Hess Corporation,Energy
HPE,Hewlett Packard Enterprise,Information Technology
HLT,Hilton Worldwide,Consumer Discretionary
HOLX,Hologic,Health Care
HON,Honeywell,Industrials
HRL,Hormel Foods,Consumer Staples
HST,Host Hotels & Resorts,Real Estate
HWM,Howmet Aerospace,Industrials
HPQ,HP Inc.,Information Technology
HUM,Humana,Health Care
HBAN,Huntington Bancshares,Financials
HII,Huntington Ingalls Industries,Industrials
IBM,IBM,Information Technology
IEX,IDEX Corporation,Industrials
IDXX,Idexx Laboratories,Health Care
ITW,Illinois Tool Works,Industrials
ILMN,Illumina,Health Care
INCY,Incyte,Health Care
IR,Ingersoll Rand,Industrials
INTC,Intel,Information Technology
ICE,Intercontinental Exchange,Financials
